config_id,seed,node_count,mac,retry_limit,radio_range_m,aggregation_threshold,security_enabled,pdr,latency_mean,energy_per_delivered_packet,total_tx_bytes,communication_saving_ratio,lifetime_proxy,hop_count,link_prr,generated_packets,is_pareto,dominates_count,dominated_by_count,recommendation_rank
cfg_201,2027,20,csma,2,55.0,0.0,False,0.9535714261571422,0.01466406369574433,0.0002551104563262973,26905,-0.16775173611111116,342560.48547672003,2,0.9989182293741451,240,False,110,6,34
cfg_202,2027,20,csma,2,55.0,0.0,True,0.9535714261571422,0.01567289539431985,0.0003104968640820073,32671,-0.4180121527777778,281454.5712971924,2,0.9989182293741451,240,False,34,16,54
cfg_203,2027,20,csma,2,55.0,0.35,False,0.9602539261402232,0.013692063695744331,0.00025333104021980235,14237,0.38207465277777775,647368.8179919331,2,0.9989182293741451,127,True,160,0,4
cfg_204,2027,20,csma,2,55.0,0.35,True,0.9602539261402232,0.014700895394319851,0.00030834671296001154,17289,0.24960937500000002,531864.3240702512,2,0.9989182293741451,127,False,58,4,42
cfg_205,2027,20,csma,4,25.0,0.0,False,0.7559220779220779,0.029295059139982062,0.00018788868916721073,53765,-0.16677517361111116,586733.7733641055,4,0.9998830703536867,240,False,58,6,148
cfg_206,2027,20,csma,4,25.0,0.0,True,0.7559220779220779,0.03131123876492228,0.00022995311630244304,65287,-0.416818576388889,479404.8514764219,4,0.9998830703536867,240,False,28,30,202
cfg_207,2027,20,csma,4,25.0,0.35,False,0.7612194779220779,0.027351059139982065,0.00018658347624742692,28451,0.38257378472222225,1108774.430597207,4,0.9998830703536867,127,True,100,0,20
cfg_208,2027,20,csma,4,25.0,0.35,True,0.7612194779220779,0.029367238764922282,0.00022835480571090414,34548,0.25026041666666665,905954.1663291986,4,0.9998830703536867,127,False,52,12,142
cfg_209,2027,20,csma,4,40.0,0.0,False,0.8547467532467532,0.021988320314489593,0.00024735118816995996,40335,-0.16710069444444442,394155.22975998116,3,0.9995594479432075,240,False,70,16,94
cfg_210,2027,20,csma,4,40.0,0.0,True,0.8547467532467532,0.023500828054144773,0.0003015536315533575,48979,-0.41721643518518525,323308.2085674832,3,0.9995594479432075,240,False,18,50,152
cfg_211,2027,20,csma,4,40.0,0.35,False,0.8607367032467532,0.020530320314489595,0.0002456305665797524,21344,0.3824074074074074,744858.095594492,3,0.9995594479432075,127,False,106,4,60
cfg_212,2027,20,csma,4,40.0,0.35,True,0.8607367032467532,0.022042828054144772,0.0002994544648167586,25918,0.2500578703703704,610977.4190688619,3,0.9995594479432075,127,False,44,18,100
cfg_213,2027,20,csma,4,55.0,0.0,False,0.9535714285714257,0.014681372029651115,0.0002551104556804003,26905,-0.16775173611111116,342560.48547672003,2,0.9989182293741451,240,False,112,6,36
